sample,picture_ID,length
190529_0.5_c,90,12.314
190529_0.5_c,90,9.397
190529_0.5_c,90,14.745
190529_0.5_c,90,9.842
190529_0.5_c,90,6.713
190529_0.5_c,90,7.781
190529_0.5_c,90,9.343
190529_0.5_c,90,7.618
190529_0.5_c,90,19.446
190529_0.5_c,90,21.353
190529_0.5_c,90,12.25
190529_0.5_c,90,12.149
190529_0.5_c,90,14.337
190529_0.5_c,90,7.106
190529_0.5_c,88,13.071
190529_0.5_c,88,14.021
190529_0.5_c,88,16.796
190529_0.5_c,88,6.957
190529_0.5_c,88,9.183
190529_0.5_c,88,6.171
190529_0.5_c,88,13.838
190529_0.5_c,88,8.718
190529_0.5_c,88,11.702
190529_0.5_c,88,19.539
190529_0.5_c,88,14.823
190529_0.5_c,88,14.385
190529_0.5_c,88,7.167
190529_0.5_c,88,11.471
190529_0.5_c,88,5.393
190529_0.5_c,88,13.574
190529_0.5_c,88,14.124
190529_0.5_c,88,11.958
190529_0.5_c,88,12.4
190529_0.5_c,88,6.061
190529_0.5_c,88,11.505
190529_0.5_c,88,5.995
190529_0.5_c,89,11.59
190529_0.5_c,89,16.144
190529_0.5_c,89,9.648
190529_0.5_c,89,15.92
190529_0.5_c,89,10.034
190529_0.5_c,89,11.553
190529_0.5_c,89,15.287
190529_0.5_c,89,11.496
190529_0.5_c,89,8.615
190529_0.5_c,89,11.791
190529_0.5_c,89,13.389
190529_0.5_c,89,11.548
190529_0.5_c,89,10.579
190529_0.5_c,89,12.693
190529_0.5_c,89,11.136
190529_0.5_c,89,10.836
190529_0.5_c,89,7.577
190529_0.5_c,89,7.014
190529_0.5_c,89,9.043
190529_0.5_c,89,9.626
190529_b,96,10.869
190529_b,96,7.799
190529_b,96,13.925
190529_b,96,6.5
190529_b,96,5.46
190529_b,96,4
190529_b,96,8.678
190529_b,96,8.832
190529_b,96,11.102
190529_b,92,20.927
190529_b,92,10.709
190529_b,92,6.981
190529_b,92,8.572
190529_b,92,11.779
190529_b,92,15.433
190529_b,92,14.668
190529_b,92,15.326
190529_b,92,16.613
190529_b,92,7.117
190529_b,92,13.423
190529_b,91,18.609
190529_b,91,10.274
190529_b,91,8.451
190529_b,91,9.13
190529_b,91,7.954
190529_b,91,12.162
190529_b,91,6.098
190529_b,91,7.508
190529_b,91,19.523
190529_b,91,10.739
190529_b,91,13.682
190529_b,91,13.301
190529_b,91,12.676
190529_b,91,16.353
190529_b,91,9.468
190529_b,91,11.51
190529_b,91,8.841
190529_b,91,11.179
190529_b,91,11.645
190529_b,91,12.889
190529_b,97,13.528
190529_b,97,11.516
190529_b,97,8.356
190529_b,97,11.804
190529_b,97,8.786
190529_b,97,9.111
190529_b,97,6.442
190529_b,97,13.408
190529_b,97,19.443
190529_b,97,11.378
190529_b,97,5.347
190529_b,97,10.57
190529_b,97,5.78
190529_b,97,11.548
190529_a,85,12.663
190529_a,85,12.632
190529_a,85,6.085
190529_a,85,11.796
190529_a,85,7.433
190529_a,85,13.827
190529_a,85,9.811
190529_a,85,11.427
190529_a,85,12.441
190529_a,85,18.051
190529_a,85,13.341
190529_a,85,13.784
190529_a,85,18.01
190529_a,81,8.439
190529_a,81,6.991
190529_a,81,13.279
190529_a,81,12.783
190529_a,81,15.159
190529_a,81,11.79
190529_a,81,15.425
190529_a,81,12.789
190529_a,81,15.319
190529_a,81,14.797
190529_a,81,19.755
190529_a,81,14.444
190529_a,81,14.375
190529_a,81,13.152
190529_a,81,13.325
190529_a,81,14.141
190529_a,81,25.439
190529_a,81,7.396
190529_a,81,10.68
190529_a,80,12.372
190529_a,80,14.967
190529_a,80,9.831
190529_a,80,12.781
190529_a,80,18.235
190529_a,80,17.161
190529_a,80,16.063
190529_a,80,12.144
190529_a,80,15.913
190529_a,80,11.071
190529_a,80,14.489
190529_a,80,11.249
190529_a,80,12.965
190529_a,80,13.975
190529_a,79,9.595
190529_a,79,13.178
190529_a,79,8.986
190529_a,79,10.657
190529_a,79,8.575
190529_a,79,14.808
190529_a,79,15.388
190529_a,79,11.482
190529_a,79,18.177
190529_a,79,14.698
190529_a,79,15.678
190529_a,79,14.539
190529_a,75,8.06
190529_a,75,7.41
190529_a,75,8.709
190529_a,75,13.867
190529_a,75,17.842
190529_a,75,9.139
190529_a,75,11.984
190529_a,75,9.217
190529_a,75,11.041
190529_a,75,11.656
190529_a,75,8.246
190529_a,75,12.616
190529_a,75,10.57
190529_a,75,14.75
190529_a,75,20.438
190529_a,75,12.941
