 ,Area,Mean,Min,Max,Angle,Length
1,3.710,173.553,123.018,249.000,100.814,18.195
2,4.274,171.919,19.439,255.000,155.872,21.123
3,2.782,191.268,138.972,246.010,-9.324,13.634
4,3.387,173.090,122.728,229.894,111.930,16.668
5,1.411,222.726,216.235,242.000,137.386,6.821
6,1.734,158.844,122.966,234.000,-35.218,8.357
7,1.069,166.664,95.000,199.047,115.372,10.682
8,1.040,176.337,112.654,223.642,122.005,10.326
9,0.545,152.385,93.000,200.202,-51.009,5.377
10,0.851,163.864,128.743,193.600,109.290,8.434
11,0.822,186.022,154.504,221.876,-9.806,8.179
12,1.010,167.380,125.693,234.818,-138.601,10.081
13,0.901,201.799,134.000,248.333,3.814,8.975
14,1.247,128.716,91.976,181.362,141.483,12.463
15,0.901,111.414,82.222,125.812,-20.037,9.003
16,0.733,145.796,90.974,209.224,-48.888,7.264
17,1.020,113.103,83.689,138.083,-64.949,10.105
18,2.311,149.331,110.322,228.780,77.905,17.181
19,1.244,178.036,98.000,251.892,163.142,9.195
20,1.369,101.792,16.000,201.725,-62.418,10.079
21,1.404,95.636,39.947,224.185,145.491,10.355
22,1.156,128.506,60.547,180.704,149.036,8.552
23,1.404,148.212,63.000,233.432,-8.130,10.371
24,1.635,181.594,127.846,255.000,-1.888,12.140
25,1.831,138.616,74.911,239.000,28.566,13.663
26,1.707,161.948,95.000,241.817,-56.646,12.610
27,0.764,183.962,146.000,247.000,28.393,5.608
28,0.551,192.628,170.778,235.944,41.009,4.064
29,1.369,154.899,80.139,234.424,77.800,10.094
30,2.347,171.610,118.599,252.563,-63.825,17.531
31,1.778,190.245,124.446,242.960,-9.841,13.262
32,2.471,168.661,119.000,227.671,-109.093,18.342
33,1.938,198.262,135.630,248.963,-85.764,14.439
34,1.333,194.767,78.000,251.336,-42.274,9.910
35,2.453,191.199,84.000,252.823,-9.256,18.237
36,1.404,171.633,111.000,206.907,-54.888,10.431
37,1.600,166.136,110.064,218.663,110.480,11.813
38,0.907,174.746,148.277,222.000,32.735,6.657
39,0.996,180.394,133.002,228.093,106.798,7.381
40,1.465,149.485,104.000,203.385,114.246,14.440
41,1.485,154.582,88.678,240.789,-161.689,14.715
42,0.889,161.328,111.002,240.000,37.528,8.744
43,0.798,150.339,107.000,190.411,-12.609,7.827
44,2.020,148.795,86.560,216.557,35.605,20.025
45,0.879,139.194,81.350,164.990,-72.408,8.646
46,0.596,135.539,121.000,154.897,88.025,5.833
47,0.949,159.747,121.315,252.130,53.746,9.347
48,1.586,145.877,68.304,208.467,-103.325,15.699
